;competition;date;distance;finishCoords;finishPort;gliderImat;gliderType;pilotClub;pilotName;shape;speed;startCoords;startPort;type
0;0;12.03.2019;28.4;49'17'945N,17'01'451E;;0K 2622;Ventus 2cm /18m 525 kg;Vyškov;Tomaš Přikryl;polygon s 5OB;76.81;49'18'440N,17'01'752E;;není možné podle pravidel bodovat
1;0;12.03.2019;102.4;48'46'200N,16'53'399E;LKBA;OK-A31O;TST-10M Atlas;Letecký klub Břeclav;Karel Ertl;polygon s 5OB;40.86;48'47'450N,16'53'550E;LKBA;volný let na vzdálenost
2;0;12.03.2019;139.2;49'17'133N,17'24'950E;LKKM;D-KMEA;Stemme S 10- VT 23m;Kroměříž;Ivan Bednařík;polygon s 5OB;62.61;49'17'133N,17'24'950E;LKKM;rychlostní let se změnou tratě za letu
3;0;09.03.2019;224.2;49'58'482N,15'29'199E;;OK-3479;Std. Cirrus;VAP;Oldřich Zumr;polygon s 5OB;107.32;49'58'482N,15'29'199E;;rychlostní let podle deklarace
4;0;09.03.2019;213;49'57'583N,15'30'583E;;OK-1773;ASW-19B;Vyškov;Jiří Koudela;polygon s 5OB;101.62;49'57'583N,15'30'583E;;rychlostní let podle deklarace
5;0;09.03.2019;234.9;49'43'356N,15'46'202E;;OK-6744;ASW-20 (A)+F /15m;VAP;Jan Černý;polygon s 5OB;123.58;49'43'356N,15'46'202E;;rychlostní let podle deklarace
6;0;09.03.2019;155.4;49'55'633N,15'32'550E;;OK-3969;ASW-15B;VAP;Kristina Šantrůčková;polygon s 5OB;106.82;49'57'667N,15'30'850E;;rychlostní let podle deklarace
7;0;09.03.2019;191.1;49'57'667N,15'30'850E;;OK-3510;VSO-10;VAP;Martin Stránský;polygon s 5OB;117.6;49'58'482N,15'29'198E;;rychlostní let podle deklarace
8;1;10.02.2019;305.5;32'12'950S,148'13'467E;;VH-IAR;Arcus E/M/S/T;Zbraslavice;Tomáš Rendla;polygon s 3OB;81.5;32'19'450S,148'13'467E;;rychlostní let podle deklarace
9;1;11.02.2019;406.6;32'12'950S,148'13'467E;;VH-IAR;Arcus E/M/S/T;Zbraslavice;Tomáš Rendla;polygon s 3OB;94.86;32'12'950S,148'13'467E;;rychlostní let podle deklarace
10;1;12.02.2019;339.7;32'12'950S,148'13'467E;;VH-IAR;Arcus E/M/S/T;Zbraslavice;Tomáš Rendla;trojúhelník;135.5;32'21'000S,148'10'000E;;rychlostní let se změnou tratě za letu
11;1;14.02.2019;377.3;32'12'950S,148'13'467E;;VH-IAR;Arcus E/M/S/T;Zbraslavice;Tomáš Rendla;FAI trojúhelník s odletem z ramene;100.62;32'19'450S,148'13'467E;;rychlostní let se změnou tratě za letu
12;1;15.02.2019;398.6;32'12'950S,148'13'467E;;VH-IAR;Arcus E/M/S/T;Zbraslavice;Tomáš Rendla;trojúhelník s odletem z ramene;97.09;32'19'450S,148'13'467E;;rychlostní let se změnou tratě za letu
13;1;16.02.2019;280.9;32'12'950S,148'13'467E;;VH-IAR;Arcus E/M/S/T;Zbraslavice;Tomáš Rendla;trojúhelník;105.04;32'06'450S,148'13'467E;;rychlostní let se změnou tratě za letu
14;0;03.03.2019;128.2;49'43'567N,15'46'050E;;D-KBSD;DG-800 LA /18m+W;GAC Benešov;Robert Šíma;polygon s 3OB;121.39;49'43'567N,15'46'050E;;rychlostní let se změnou tratě za letu
15;0;14.02.2019;58.5;48'15'820N,18'09'061E;;OM-8888;LS-8-18 /15m;Partizánske;Miroslav Belianský;polygon s 5OB;24.51;48'19'495N,18'07'385E;;není možné podle pravidel bodovat
